ID,Site,Date,Start.angle,Transect.angle,Transect,Point,Family,Genus,Species,N,Author,DBH,Height,Notes.stem,Notes.other,UTM.begin.1,UTM.begin.2,UTM.end.1,UTM.end.2,Photos.site,Photos.plant,dis,hab,point
1,Jenaro Herrera,8/11/2015,259,300,JH-01,1,Melastomataceae,Bellucia,pentamera,Bellucia pentamera,Naudin,4.5,6,Arbusto con flores. Doble tallo,,419,NA,636,NA, 4 - 8,1 (flor),D,U,JH-01_1
1a,Jenaro Herrera,8/11/2015,259,300,JH-01,1,Melastomataceae,Bellucia,pentamera,Bellucia pentamera,Naudin,5.4,7,,,419,NA,636,NA, 4 - 8,,D,U,JH-01_1
2,Jenaro Herrera,8/11/2015,259,300,JH-01,1,Bignoniaceae,Jacaranda,copaia,Jacaranda copaia,(Aubl.) D.Don,16.6,11,,,419,NA,636,NA, 4 - 8,,D,U,JH-01_1
3,Jenaro Herrera,8/11/2015,259,300,JH-01,1,Urticaceae,Cecropia,distachya,Cecropia distachya,Huber,5.5,7,,,419,NA,636,NA, 4 - 8,,D,U,JH-01_1
4,Jenaro Herrera,8/11/2015,259,300,JH-01,1,Bignoniaceae,Jacaranda,copaia,Jacaranda copaia,(Aubl.) D.Don,22.8,1.7,"Arbol cortado, y con retono",,419,NA,636,NA, 4 - 8,"2, 3 (hojas)",D,U,JH-01_1
5,Jenaro Herrera,8/11/2015,259,300,JH-01,1,Anacardiaceae,Tapirira,guianensis,Tapirira guianensis, Aubl.,19,9,,,419,NA,636,NA, 4 - 8,,D,U,JH-01_1
6,Jenaro Herrera,8/11/2015,259,300,JH-01,1,Bignoniaceae,Jacaranda,copaia,Jacaranda copaia,(Aubl.) D.Don,4.6,6,,,419,NA,636,NA, 4 - 8,,D,U,JH-01_1
7,Jenaro Herrera,8/11/2015,259,300,JH-01,1,Bignoniaceae,Jacaranda,copaia,Jacaranda copaia,(Aubl.) D.Don,2.8,2.6,,,419,NA,636,NA, 4 - 8,,D,U,JH-01_1
8,Jenaro Herrera,8/11/2015,259,300,JH-01,1,Bignoniaceae,Jacaranda,copaia,Jacaranda copaia,(Aubl.) D.Don,5.1,6,,,419,NA,636,NA, 4 - 8,,D,U,JH-01_1
9,Jenaro Herrera,8/11/2015,259,300,JH-01,1,Bignoniaceae,Jacaranda,copaia,Jacaranda copaia,(Aubl.) D.Don,13.5,10,,,419,NA,636,NA, 4 - 8,,D,U,JH-01_1
10,Jenaro Herrera,8/11/2015,180,125,JH-01,2,Euphorbiaceae,Alchornea,triplinervia,Alchornea triplinervia,(Spreng.) Müll. Arg.,3.7,6,,,420,NA,421,NA, 9 - 13,,D,U,JH-01_2
11,Jenaro Herrera,8/11/2015,180,125,JH-01,2,Myristicaceae,Virola,elongata,Virola elongata,(Benth.) Warb.,10.6,7,latex anaranjado translucido y sin olor,,420,NA,421,NA, 9 - 13,,D,U,JH-01_2
12,Jenaro Herrera,8/11/2015,180,125,JH-01,2,Rubiaceae,Psychotria,acuminata,Psychotria acuminata, Benth.,3.4,2.6,tiene flores blancas. El tronco tiene nudos,,420,NA,421,NA, 9 - 13,,D,U,JH-01_2
13,Jenaro Herrera,8/11/2015,180,125,JH-01,2,Ind.,Ind.,sp. 1,Ind. sp. 1,,7.4,6,arbol sin hojas,,420,NA,421,NA, 9 - 13,,D,U,JH-01_2
14,Jenaro Herrera,8/11/2015,180,125,JH-01,2,Euphorbiaceae,Hevea,brasiliensis,Hevea brasiliensis,(Kunth) Müll. Arg.,4,6,latex blanco,,420,NA,421,NA, 9 - 13,,D,U,JH-01_2
15,Jenaro Herrera,8/11/2015,180,125,JH-01,2,Rubiaceae,Ferdinandusa,loretensis,Ferdinandusa loretensis,Standl.,6.9,7,,,420,NA,421,NA, 9 - 13,,D,U,JH-01_2
16,Jenaro Herrera,8/11/2015,180,125,JH-01,2,Rubiaceae,Psychotria,acuminata,Psychotria acuminata, Benth.,2.9,4,,,420,NA,421,NA, 9 - 13,,D,U,JH-01_2
17,Jenaro Herrera,8/11/2015,180,125,JH-01,2,Arecaceae,Euterpe,precatoria,Euterpe precatoria, Mart.,15.1,13,,,420,NA,421,NA, 9 - 13,,D,U,JH-01_2
18,Jenaro Herrera,8/11/2015,180,125,JH-01,2,Annonaceae,Xylopia,sp. 1,Xylopia sp. 1,,4.1,6,,,420,NA,421,NA, 9 - 13,,D,U,JH-01_2
19,Jenaro Herrera,8/11/2015,180,125,JH-01,2,Fabaceae,Inga,sp. 1,Inga sp. 1,,7.6,7,Exudado rojo,,420,NA,421,NA, 9 - 13,,D,U,JH-01_2
20,Jenaro Herrera,8/11/2015,180,125,JH-01,2,Melastomataceae,Bellucia,pentamera,Bellucia pentamera,Naudin,5.5,7,,,420,NA,421,NA, 9 - 13,,D,U,JH-01_2
21,Jenaro Herrera,8/11/2015,180,125,JH-01,2,Fabaceae,Inga,sp. 1,Inga sp. 1,,59.3,18,,,420,NA,421,NA, 9 - 13,,D,U,JH-01_2
22,Jenaro Herrera,8/11/2015,20,25,JH-01,3,Urticaceae,Cecropia,distachya,Cecropia distachya,Huber,5,6,,,422,NA,423,NA, 15 - 18,,D,U,JH-01_3
23,Jenaro Herrera,8/11/2015,20,25,JH-01,3,Onagraceae,Ludwigia,erecta,Ludwigia erecta,(L.) H. Hara,2.6,4,,,422,NA,423,NA, 15 - 18,,D,U,JH-01_3
24,Jenaro Herrera,8/11/2015,20,25,JH-01,3,Siparunaceae,Siparuna,guianensis,Siparuna guianensis,Aubl.,2.6,4,,,422,NA,423,NA, 15 - 18,,D,U,JH-01_3
25,Jenaro Herrera,8/11/2015,20,25,JH-01,3,Hypericaceae,Vismia,angusta,Vismia angusta,Miq.,4.6,4,,,422,NA,423,NA, 15 - 18,,D,U,JH-01_3
26,Jenaro Herrera,8/11/2015,20,25,JH-01,3,Melastomataceae,Bellucia,pentamera,Bellucia pentamera,Naudin,3.3,3,tiene flores,,422,NA,423,NA, 15 - 18,14 (flor),D,U,JH-01_3
27,Jenaro Herrera,8/11/2015,35,110,JH-01,4,Euphorbiaceae,Alchornea,triplinervia,Alchornea triplinervia,(Spreng.) Müll. Arg.,2.6,4,,,424,NA,629,NA,"19, 20",,D,U,JH-01_4
28,Jenaro Herrera,8/11/2015,60,150,JH-01,5,Euphorbiaceae,Alchornea,triplinervia,Alchornea triplinervia,(Spreng.) Müll. Arg.,3.5,4,,El transecto atravieza la carretera. El primer segmento mide 23.3 m. y el segundo segmento mide 26.7 m.,630,632,631,633, 21 - 23,,D,U,JH-01_5
,Jenaro Herrera,8/11/2015,40,90,JH-01,6,,,, ,,NA,NA,,No se registraron arboles ,634,NA,635,NA,"24, 25",,D,U,JH-01_6
29,Jenaro Herrera,9/11/2015,290,350,JH-03,1,Urticaceae,Cecropia,ficifolia,Cecropia ficifolia,Warb. ex Snethl.,5.2,4,,,637,NA,638,NA, 26 - 28,,D,V,JH-03_1
30,Jenaro Herrera,9/11/2015,290,350,JH-03,1,Fabaceae,Crudia,glaberrima,Crudia glaberrima,(Steud.) J.F. Macbr.,3,3.5,,,637,NA,638,NA, 26 - 28,,D,V,JH-03_1
31,Jenaro Herrera,9/11/2015,290,350,JH-03,1,Urticaceae,Cecropia,ficifolia,Cecropia ficifolia,Warb. ex Snethl.,4.7,6,,,637,NA,638,NA, 26 - 28,,D,V,JH-03_1
32,Jenaro Herrera,9/11/2015,290,350,JH-03,1,Urticaceae,Cecropia,ficifolia,Cecropia ficifolia,Warb. ex Snethl.,9.2,8,,,637,NA,638,NA, 26 - 28,,D,V,JH-03_1
33,Jenaro Herrera,9/11/2015,290,350,JH-03,1,Urticaceae,Cecropia,ficifolia,Cecropia ficifolia,Warb. ex Snethl.,5.2,6,,,637,NA,638,NA, 26 - 28,,D,V,JH-03_1
34,Jenaro Herrera,9/11/2015,290,350,JH-03,1,Urticaceae,Cecropia,ficifolia,Cecropia ficifolia,Warb. ex Snethl.,8.9,9,,,637,NA,638,NA, 26 - 28,,D,V,JH-03_1
35,Jenaro Herrera,9/11/2015,290,350,JH-03,1,Urticaceae,Cecropia,ficifolia,Cecropia ficifolia,Warb. ex Snethl.,5.3,7,,,637,NA,638,NA, 26 - 28,,D,V,JH-03_1
36,Jenaro Herrera,9/11/2015,290,350,JH-03,1,Urticaceae,Cecropia,ficifolia,Cecropia ficifolia,Warb. ex Snethl.,6.5,7,,,637,NA,638,NA, 26 - 28,,D,V,JH-03_1
37,Jenaro Herrera,9/11/2015,290,350,JH-03,1,Urticaceae,Cecropia,ficifolia,Cecropia ficifolia,Warb. ex Snethl.,4.4,5,,,637,NA,638,NA, 26 - 28,,D,V,JH-03_1
38,Jenaro Herrera,9/11/2015,290,350,JH-03,1,Urticaceae,Cecropia,ficifolia,Cecropia ficifolia,Warb. ex Snethl.,3.4,4,,,637,NA,638,NA, 26 - 28,,D,V,JH-03_1
39,Jenaro Herrera,9/11/2015,290,350,JH-03,1,Capparaceae,Crateva,tapia,Crateva tapia,L.,2.9,4,,,637,NA,638,NA, 26 - 28,,D,V,JH-03_1
40,Jenaro Herrera,9/11/2015,290,350,JH-03,1,Lauraceae,Ind.,sp. 1,Lauraceae sp. 1,,61.6,14,,,637,NA,638,NA, 26 - 28,,D,V,JH-03_1
41,Jenaro Herrera,9/11/2015,290,350,JH-03,1,Malvaceae,Ceiba,samauma,Ceiba samauma,(Mart.) K. Schum.,3.2,4,,,637,NA,638,NA, 26 - 28,,D,V,JH-03_1
42,Jenaro Herrera,9/11/2015,290,230,JH-03,2,Urticaceae,Cecropia,ficifolia,Cecropia ficifolia,Warb. ex Snethl.,8.1,7,,,639,NA,640,NA, 29 - 33,,D,V,JH-03_2
43,Jenaro Herrera,9/11/2015,290,230,JH-03,2,Urticaceae,Cecropia,ficifolia,Cecropia ficifolia,Warb. ex Snethl.,14.9,9,,,639,NA,640,NA, 29 - 33,,D,V,JH-03_2
44,Jenaro Herrera,9/11/2015,290,230,JH-03,2,Urticaceae,Cecropia,ficifolia,Cecropia ficifolia,Warb. ex Snethl.,9,7,,,639,NA,640,NA, 29 - 33,,D,V,JH-03_2
45,Jenaro Herrera,9/11/2015,290,230,JH-03,2,Urticaceae,Cecropia,ficifolia,Cecropia ficifolia,Warb. ex Snethl.,6.3,6,,,639,NA,640,NA, 29 - 33,,D,V,JH-03_2
46,Jenaro Herrera,9/11/2015,290,230,JH-03,2,Urticaceae,Cecropia,ficifolia,Cecropia ficifolia,Warb. ex Snethl.,14.9,9,,,639,NA,640,NA, 29 - 33,,D,V,JH-03_2
47,Jenaro Herrera,9/11/2015,290,230,JH-03,2,Urticaceae,Cecropia,ficifolia,Cecropia ficifolia,Warb. ex Snethl.,21.2,9,,,639,NA,640,NA, 29 - 33,,D,V,JH-03_2
48,Jenaro Herrera,9/11/2015,290,230,JH-03,2,Urticaceae,Cecropia,ficifolia,Cecropia ficifolia,Warb. ex Snethl.,4.5,5,,,639,NA,640,NA, 29 - 33,,D,V,JH-03_2
49,Jenaro Herrera,9/11/2015,290,230,JH-03,2,Malvaceae,Luehea,paniculata,Luehea paniculata,Mart.,3.9,6,,,639,NA,640,NA, 29 - 33,,D,V,JH-03_2
50,Jenaro Herrera,9/11/2015,290,230,JH-03,2,Malvaceae,Luehea,paniculata,Luehea paniculata,Mart.,2.8,4,,,639,NA,640,NA, 29 - 33,,D,V,JH-03_2
51,Jenaro Herrera,9/11/2015,290,230,JH-03,2,Lamiaceae,Aegiphila,filipes,Aegiphila filipes,Mart. & Schauer,8.1,4,,,639,NA,640,NA, 29 - 33,,D,V,JH-03_2
52,Jenaro Herrera,9/11/2015,290,230,JH-03,2,Urticaceae,Cecropia,ficifolia,Cecropia ficifolia,Warb. ex Snethl.,8.2,7,,,639,NA,640,NA, 29 - 33,,D,V,JH-03_2
53,Jenaro Herrera,9/11/2015,290,230,JH-03,2,Urticaceae,Cecropia,ficifolia,Cecropia ficifolia,Warb. ex Snethl.,3.1,4,,,639,NA,640,NA, 29 - 33,,D,V,JH-03_2
54,Jenaro Herrera,9/11/2015,290,230,JH-03,2,Urticaceae,Cecropia,ficifolia,Cecropia ficifolia,Warb. ex Snethl.,7.6,7,,,639,NA,640,NA, 29 - 33,,D,V,JH-03_2
55,Jenaro Herrera,9/11/2015,290,230,JH-03,2,Thymeliaceae,Schoenobiblus,peruvianus,Schoenobiblus peruvianus,Standl.,3.6,4,,,639,NA,640,NA, 29 - 33,,D,V,JH-03_2
,Jenaro Herrera,9/11/2015,220,90,JH-03,3,,,, ,,NA,NA,,No se registraron arboles ,641,NA,642,NA, 34 - 37,,D,V,JH-03_3
56,Jenaro Herrera,9/11/2015,210,40,JH-03,4,Malvaceae,Ceiba,samauma,Ceiba samauma,(Mart.) K. Schum.,3,2.4,,,643,NA,644,NA,"38, 39",,D,V,JH-03_4
57,Jenaro Herrera,9/11/2015,210,40,JH-03,4,Urticaceae,Cecropia,ficifolia,Cecropia ficifolia,Warb. ex Snethl.,4.1,4,,,643,NA,644,NA,"38, 39",,D,V,JH-03_4
58,Jenaro Herrera,9/11/2015,90,270,JH-03,5,Capparaceae,Crateva,tapia,Crateva tapia,L.,11.9,6,,,645,NA,646,NA, 40 - 42,,D,V,JH-03_5
59,Jenaro Herrera,9/11/2015,90,270,JH-03,5,Capparaceae,Crateva,tapia,Crateva tapia,L.,6.5,3,,,645,NA,646,NA, 40 - 42,,D,V,JH-03_5
60,Jenaro Herrera,9/11/2015,90,270,JH-03,5,Capparaceae,Crateva,tapia,Crateva tapia,L.,9.7,5,,,645,NA,646,NA, 40 - 42,,D,V,JH-03_5
61,Jenaro Herrera,9/11/2015,90,270,JH-03,5,Fabaceae,Inga,sp. 2,Inga sp. 2,,38.4,6,,,645,NA,646,NA, 40 - 42,,D,V,JH-03_5
62,Jenaro Herrera,9/11/2015,90,270,JH-03,5,Nyctaginaceae,Neea,virens,Neea virens,Poepp. ex Heimerl,3.1,4,,,645,NA,646,NA, 40 - 42,,D,V,JH-03_5
63,Jenaro Herrera,9/11/2015,90,270,JH-03,5,Nyctaginaceae,Neea,virens,Neea virens,Poepp. ex Heimerl,2.6,3,,,645,NA,646,NA, 40 - 42,,D,V,JH-03_5
64,Jenaro Herrera,9/11/2015,90,270,JH-03,5,Nyctaginaceae,Neea,virens,Neea virens,Poepp. ex Heimerl,2.8,2,,,645,NA,646,NA, 40 - 42,,D,V,JH-03_5
65,Jenaro Herrera,9/11/2015,90,270,JH-03,5,Polygonaceae,Triplaris,peruviana,Triplaris peruviana,Fisch. & Meyer ex C.A. Meyer,6.3,5,,,645,NA,646,NA, 40 - 42,,D,V,JH-03_5
66,Jenaro Herrera,9/11/2015,90,270,JH-03,5,Polygonaceae,Triplaris,peruviana,Triplaris peruviana,Fisch. & Meyer ex C.A. Meyer,5.6,6,,,645,NA,646,NA, 40 - 42,,D,V,JH-03_5
67,Jenaro Herrera,9/11/2015,90,270,JH-03,5,Nyctaginaceae,Neea,spruceana,Neea spruceana,Heimerl,2.6,3,,,645,NA,646,NA, 40 - 42,,D,V,JH-03_5
68,Jenaro Herrera,9/11/2015,290,260,JH-03,6,Euphorbiaceae,Croton,cuneatus,Croton cuneatus,Miq. ,6.9,7,,,647,NA,648,NA, 43 - 48,,D,V,JH-03_6
69,Jenaro Herrera,9/11/2015,290,260,JH-03,6,Moraceae,Maquira,coriacea,Maquira coriacea,(H. Karst.) C.C. Berg,4.5,3,Latex color amarillo claro ,,647,NA,648,NA, 43 - 48,,D,V,JH-03_6
70,Jenaro Herrera,9/11/2015,290,260,JH-03,6,Fabaceae,Inga,sp. 2,Inga sp. 2,,23.1,15,,,647,NA,648,NA, 43 - 48,,D,V,JH-03_6
71,Jenaro Herrera,9/11/2015,290,260,JH-03,6,Moraceae,Batocarpus,amazonicus,Batocarpus amazonicus,(Ducke) Fosberg,5.7,5,,,647,NA,648,NA, 43 - 48,,D,V,JH-03_6
72,Jenaro Herrera,9/11/2015,290,260,JH-03,6,Moraceae,Batocarpus,amazonicus,Batocarpus amazonicus,(Ducke) Fosberg,11.6,8,,,647,NA,648,NA, 43 - 48,,D,V,JH-03_6
73,Jenaro Herrera,9/11/2015,290,260,JH-03,6,Moraceae,Batocarpus,amazonicus,Batocarpus amazonicus,(Ducke) Fosberg,6.7,6,,,647,NA,648,NA, 43 - 48,,D,V,JH-03_6
74,Jenaro Herrera,9/11/2015,290,260,JH-03,6,Salicaceae,Xylosma,benthamii,Xylosma benthamii, Griseb.,3.2,4,,,647,NA,648,NA, 43 - 48,,D,V,JH-03_6
75,Jenaro Herrera,9/11/2015,290,260,JH-03,6,Violaceae,Leonia,glycycarpa,Leonia glycycarpa, Ruiz & Pav.,10.9,5,,,647,NA,648,NA, 43 - 48,,D,V,JH-03_6
76,Jenaro Herrera,9/11/2015,290,260,JH-03,6,Moraceae,Perebea,guianensis,Perebea guianensis,Aubl.,3,5,,,647,NA,648,NA, 43 - 48,,D,V,JH-03_6
77,Jenaro Herrera,9/11/2015,290,260,JH-03,6,Nyctaginaceae,Neea,virens,Neea virens,Poepp. ex Heimerl,4.1,4,,,647,NA,648,NA, 43 - 48,,D,V,JH-03_6
78,Jenaro Herrera,9/11/2015,290,260,JH-03,6,Violaceae,Rinorea,guianensis,Rinorea guianensis,Aubl.,3.9,2,,,647,NA,648,NA, 43 - 48,,D,V,JH-03_6
79,Jenaro Herrera,9/11/2015,290,260,JH-03,6,Annonaceae,Annona,sp. 1,Annona sp. 1,,5.3,7,,,647,NA,648,NA, 43 - 48,,D,V,JH-03_6
80,Jenaro Herrera,9/11/2015,290,260,JH-03,6,Lauraceae,Nectandra,sp. 1,Nectandra sp. 1,,5.7,4,,,647,NA,648,NA, 43 - 48,,D,V,JH-03_6
81,Jenaro Herrera,9/11/2015,290,260,JH-03,6,Nyctaginaceae,Neea,divaricata,Neea divaricata,Poepp. & Endl.,3.1,3,,,647,NA,648,NA, 43 - 48,,D,V,JH-03_6
82,Jenaro Herrera,9/11/2015,290,260,JH-03,6,Euphorbiaceae,Croton,cuneatus,Croton cuneatus,Miq. ,25,13,Exudado rojo olor fuerte,,647,NA,648,NA, 43 - 48,,D,V,JH-03_6
83,Jenaro Herrera,10/11/2015,300,190,JH-02,6,Chrysobalanaceae,Licania,sp. 1,Licania sp. 1,,6,4,,,649,NA,650,NA, 49 - 53,,P,V,JH-02_6
84,Jenaro Herrera,10/11/2015,300,190,JH-02,6,Polygonaceae,Coccoloba,densifrons,Coccoloba densifrons,Mart. ex Meisn.,19.4,7,,,649,NA,650,NA, 49 - 53,,P,V,JH-02_6
