ID,Site,Date,Start.angle,Transect.angle,Transect,Point,Family,Genus,Species,N,Author,DBH,Height,Notes.stem,Notes.other,UTM.begin.1,UTM.begin.2,UTM.end.1,UTM.end.2,Photos.site,Photos.plant,dis,hab,point,class
1,Jenaro Herrera,8/11/2015,259,300,JH-01,1,Melastomataceae,Bellucia,pentamera,Bellucia pentamera,Naudin,4.5,6,Arbusto con flores. Doble tallo,,419,,636,, 4 - 8,1 (flor),Disturbed,Upland,JH-01_1,Disturbed.Upland
1a,Jenaro Herrera,8/11/2015,259,300,JH-01,1,Melastomataceae,Bellucia,pentamera,Bellucia pentamera,Naudin,5.4,7,,,419,,636,, 4 - 8,,Disturbed,Upland,JH-01_1,Disturbed.Upland
2,Jenaro Herrera,8/11/2015,259,300,JH-01,1,Bignoniaceae,Jacaranda,copaia,Jacaranda copaia,(Aubl.) D.Don,16.6,11,,,419,,636,, 4 - 8,,Disturbed,Upland,JH-01_1,Disturbed.Upland
3,Jenaro Herrera,8/11/2015,259,300,JH-01,1,Urticaceae,Cecropia,distachya,Cecropia distachya,Huber,5.5,7,,,419,,636,, 4 - 8,,Disturbed,Upland,JH-01_1,Disturbed.Upland
4,Jenaro Herrera,8/11/2015,259,300,JH-01,1,Bignoniaceae,Jacaranda,copaia,Jacaranda copaia,(Aubl.) D.Don,22.8,1.7,"Arbol cortado, y con retono",,419,,636,, 4 - 8,"2, 3 (hojas)",Disturbed,Upland,JH-01_1,Disturbed.Upland
5,Jenaro Herrera,8/11/2015,259,300,JH-01,1,Anacardiaceae,Tapirira,guianensis,Tapirira guianensis, Aubl.,19,9,,,419,,636,, 4 - 8,,Disturbed,Upland,JH-01_1,Disturbed.Upland
6,Jenaro Herrera,8/11/2015,259,300,JH-01,1,Bignoniaceae,Jacaranda,copaia,Jacaranda copaia,(Aubl.) D.Don,4.6,6,,,419,,636,, 4 - 8,,Disturbed,Upland,JH-01_1,Disturbed.Upland
7,Jenaro Herrera,8/11/2015,259,300,JH-01,1,Bignoniaceae,Jacaranda,copaia,Jacaranda copaia,(Aubl.) D.Don,2.8,2.6,,,419,,636,, 4 - 8,,Disturbed,Upland,JH-01_1,Disturbed.Upland
8,Jenaro Herrera,8/11/2015,259,300,JH-01,1,Bignoniaceae,Jacaranda,copaia,Jacaranda copaia,(Aubl.) D.Don,5.1,6,,,419,,636,, 4 - 8,,Disturbed,Upland,JH-01_1,Disturbed.Upland
9,Jenaro Herrera,8/11/2015,259,300,JH-01,1,Bignoniaceae,Jacaranda,copaia,Jacaranda copaia,(Aubl.) D.Don,13.5,10,,,419,,636,, 4 - 8,,Disturbed,Upland,JH-01_1,Disturbed.Upland
10,Jenaro Herrera,8/11/2015,180,125,JH-01,2,Euphorbiaceae,Alchornea,triplinervia,Alchornea triplinervia,(Spreng.) Müll. Arg.,3.7,6,,,420,,421,, 9 - 13,,Disturbed,Upland,JH-01_2,Disturbed.Upland
11,Jenaro Herrera,8/11/2015,180,125,JH-01,2,Myristicaceae,Virola,elongata,Virola elongata,(Benth.) Warb.,10.6,7,latex anaranjado translucido y sin olor,,420,,421,, 9 - 13,,Disturbed,Upland,JH-01_2,Disturbed.Upland
12,Jenaro Herrera,8/11/2015,180,125,JH-01,2,Rubiaceae,Psychotria,acuminata,Psychotria acuminata, Benth.,3.4,2.6,tiene flores blancas. El tronco tiene nudos,,420,,421,, 9 - 13,,Disturbed,Upland,JH-01_2,Disturbed.Upland
13,Jenaro Herrera,8/11/2015,180,125,JH-01,2,Ind.,Ind.,sp. 1,Ind. sp. 1,,7.4,6,arbol sin hojas,,420,,421,, 9 - 13,,Disturbed,Upland,JH-01_2,Disturbed.Upland
14,Jenaro Herrera,8/11/2015,180,125,JH-01,2,Euphorbiaceae,Hevea,brasiliensis,Hevea brasiliensis,(Kunth) Müll. Arg.,4,6,latex blanco,,420,,421,, 9 - 13,,Disturbed,Upland,JH-01_2,Disturbed.Upland
15,Jenaro Herrera,8/11/2015,180,125,JH-01,2,Rubiaceae,Ferdinandusa,loretensis,Ferdinandusa loretensis,Standl.,6.9,7,,,420,,421,, 9 - 13,,Disturbed,Upland,JH-01_2,Disturbed.Upland
16,Jenaro Herrera,8/11/2015,180,125,JH-01,2,Rubiaceae,Psychotria,acuminata,Psychotria acuminata, Benth.,2.9,4,,,420,,421,, 9 - 13,,Disturbed,Upland,JH-01_2,Disturbed.Upland
17,Jenaro Herrera,8/11/2015,180,125,JH-01,2,Arecaceae,Euterpe,precatoria,Euterpe precatoria, Mart.,15.1,13,,,420,,421,, 9 - 13,,Disturbed,Upland,JH-01_2,Disturbed.Upland
18,Jenaro Herrera,8/11/2015,180,125,JH-01,2,Annonaceae,Xylopia,sp. 1,Xylopia sp. 1,,4.1,6,,,420,,421,, 9 - 13,,Disturbed,Upland,JH-01_2,Disturbed.Upland
19,Jenaro Herrera,8/11/2015,180,125,JH-01,2,Fabaceae,Inga,sp. 1,Inga sp. 1,,7.6,7,Exudado rojo,,420,,421,, 9 - 13,,Disturbed,Upland,JH-01_2,Disturbed.Upland
20,Jenaro Herrera,8/11/2015,180,125,JH-01,2,Melastomataceae,Bellucia,pentamera,Bellucia pentamera,Naudin,5.5,7,,,420,,421,, 9 - 13,,Disturbed,Upland,JH-01_2,Disturbed.Upland
21,Jenaro Herrera,8/11/2015,180,125,JH-01,2,Fabaceae,Inga,sp. 1,Inga sp. 1,,59.3,18,,,420,,421,, 9 - 13,,Disturbed,Upland,JH-01_2,Disturbed.Upland
22,Jenaro Herrera,8/11/2015,20,25,JH-01,3,Urticaceae,Cecropia,distachya,Cecropia distachya,Huber,5,6,,,422,,423,, 15 - 18,,Disturbed,Upland,JH-01_3,Disturbed.Upland
23,Jenaro Herrera,8/11/2015,20,25,JH-01,3,Onagraceae,Ludwigia,erecta,Ludwigia erecta,(L.) H. Hara,2.6,4,,,422,,423,, 15 - 18,,Disturbed,Upland,JH-01_3,Disturbed.Upland
24,Jenaro Herrera,8/11/2015,20,25,JH-01,3,Siparunaceae,Siparuna,guianensis,Siparuna guianensis,Aubl.,2.6,4,,,422,,423,, 15 - 18,,Disturbed,Upland,JH-01_3,Disturbed.Upland
25,Jenaro Herrera,8/11/2015,20,25,JH-01,3,Hypericaceae,Vismia,angusta,Vismia angusta,Miq.,4.6,4,,,422,,423,, 15 - 18,,Disturbed,Upland,JH-01_3,Disturbed.Upland
26,Jenaro Herrera,8/11/2015,20,25,JH-01,3,Melastomataceae,Bellucia,pentamera,Bellucia pentamera,Naudin,3.3,3,tiene flores,,422,,423,, 15 - 18,14 (flor),Disturbed,Upland,JH-01_3,Disturbed.Upland
27,Jenaro Herrera,8/11/2015,35,110,JH-01,4,Euphorbiaceae,Alchornea,triplinervia,Alchornea triplinervia,(Spreng.) Müll. Arg.,2.6,4,,,424,,629,,"19, 20",,Disturbed,Upland,JH-01_4,Disturbed.Upland
28,Jenaro Herrera,8/11/2015,60,150,JH-01,5,Euphorbiaceae,Alchornea,triplinervia,Alchornea triplinervia,(Spreng.) Müll. Arg.,3.5,4,,El transecto atravieza la carretera. El primer segmento mide 23.3 m. y el segundo segmento mide 26.7 m.,630,632,631,633, 21 - 23,,Disturbed,Upland,JH-01_5,Disturbed.Upland
,Jenaro Herrera,8/11/2015,40,90,JH-01,6,,,, ,,,,,No se registraron arboles ,634,,635,,"24, 25",,Disturbed,Upland,JH-01_6,Disturbed.Upland
